apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
8327256,8327256,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 ROUND RAW FROZEN",1.5,N,6,134,1114.5,587,1.898637,5870,0.189864,4497.7,7.662181,0.766218,7.662181,1.898637,587,-880.5,-1.5,32.023918,24.361738,9.560818,8.060818,2016nf7 (2weeks),0,0,0,0,0,0,14,15,3,6,0,0,0,0,0,0,6,5,2,3,0,0,0,0,0,0,2.333333,3,1.5,2
2573517,2573517,PROCESSED MEAT,DELI & LUNCHEON MEATS,"PEPPERONI, BULK OR SLICED, REFRIGERATED","PEPPERONI, ALL-MEAT STICK COOKED REF BAG UNCURED",0.25,Y,41,273,1787.412303,563,3.1748,4447.89,0.401856,2820.1,5.009059,0.634031,0.634031,0.401856,563,-1112.47,-0.250112,4.236879,3.602848,1.035887,0.785775,2016nf7 (2weeks),1,2,0,0,0,0,20,12,6,9,1,2,0,0,0,0,18,9,6,8,1,1,0,0,0,0,1.111111,1.333333,1,1.125
1560671,1560671,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 HOMESTYLE 5/16"" THICK DOUBLE SCORED RAW IQF FR",1.5,N,7,92,1060.5,503,2.10835,5030,0.210835,2328.96,4.630139,0.463014,4.630139,2.10835,503,-754.5,-1.5,30.01835,25.388211,6.738489,5.238489,2016nf7 (2weeks),0,0,0,0,0,0,22,46,22,23,0,0,0,0,0,0,6,4,2,4,0,0,0,0,0,0,3.666667,11.5,11,5.75
1782499,1782499,DISPOSABLES,"TISSUE, TOWELS, & PERSONAL HYGIENE, DISPOSABLE","TOWELS, PAPER, DISPOSABLE","TOWEL, LINENLIKE 12X17 FOLDED WHITE GUEST PAPER",8,N,30,113,7401.72,479,15.452443,3855.95,1.919558,3765.05,7.86023,0.976426,7.86023,15.452443,479,-3832,-8,47.379353,39.519123,23.312673,15.312673,2016nf7 (2weeks),0,0,0,0,0,0,18,20,12,17,0,0,0,0,0,0,9,7,6,5,0,0,0,0,0,0,2,2.857143,2,3.4
6327159,6327159,SEAFOOD,"SHELLFISH, OTHER, FZN","SCALLOP, UNBREADED FROZEN","SCALLOP, SEA 20-30 COUNT DRY RAW IQF FROZEN USA WILD",5,N,30,176,3815.150198,452,8.440598,4520,0.84406,5057.23,11.188562,1.118856,11.188562,8.440598,452,-2260,-5,141.197212,130.00865,19.62916,14.62916,2016nf7 (2weeks),5,2,0,0,0,0,30,10,20,12,1,2,0,0,0,0,11,5,8,5,5,1,0,0,0,0,2.727273,2,2.5,2.4
6841696,6841696,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HOT DOG WHITE 6"" TOP SLICED BAKED FROZEN NEW ENGLAND STYLE",3,N,4,181,4351.840598,452,9.627966,4068,1.069774,2314.24,5.12,0.568889,5.12,9.627966,453,-1356,-3,27.976792,22.856792,14.747966,11.747966,2016nf7 (2weeks),0,6,0,0,0,0,94,16,30,26,0,3,0,0,0,0,33,20,14,17,0,2,0,0,0,0,2.848485,0.8,2.142857,1.529412
5283440,5283440,SEAFOOD,"FISH, NOT VALUE ADDED, FZN","SALMON, WHOLE OR CUTS, FROZEN, UNBREADED, UNSMOKED","SALMON, SOCKEYE 6 OZ FILLET BONELESS SKIN-ON MARINATED RAW FROZEN IVP USA W",5,N,54,252,2708.478276,448,6.04571,4480,0.604571,3628.64,8.099643,0.809964,8.099643,6.04571,448,-2240,-5,80.574866,72.475223,14.145353,9.145353,2016nf7 (2weeks),2,0,0,0,0,0,50,24,26,26,2,0,0,0,0,0,26,13,15,12,1,0,0,0,0,0,1.923077,1.846154,1.733333,2.166667
6330831,6330831,EQUIPMENT & SUPPLIES,"SMALLWARES, KITCHEN & BAR","DISPENSERS & HOLDERS, OTHER","DISPENSER, SQUEEZE BOTTLE 12 OZ PLASTIC NATURAL",2,N,52,253,388.1424011,428,0.906875,856,0.453437,951.26,2.22257,1.111285,2.22257,0.906875,434,-856,-2,8.768645,6.546075,3.129445,1.129445,2016nf7 (2weeks),0,3,0,0,0,0,14,3,6,3,0,2,0,0,0,0,12,4,5,3,0,1.5,0,0,0,0,1.166667,0.75,1.2,1
9353525,9353525,"PRODUCE, FRESH","MELONS, FRESH","HONEYDEW, FRESH","HONEYDEW, FRESH REF MELON",2,N,5,199,1434.849382,427,3.360303,10675,0.134412,2666.53,6.244801,0.249792,6.244801,3.360303,427,-854,-2,23.909485,17.664684,9.605104,7.605104,2016nf7 (2weeks),3,2,0,0,0,0,27,21,14,18,3,2,0,0,0,0,17,12,9,10,1,1,0,0,0,0,1.588235,1.75,1.555556,1.8
4384434,4384434,"PRODUCE, FRESH","MELONS, FRESH","HONEYDEW, FRESH","HONEYDEW, 5-6 COUNT FRESH REF MELON",2,N,2,167,1495.738433,397,3.767603,11036.6,0.135525,1514.37,3.814534,0.137213,3.814534,3.767603,397,-794,-2,17.095516,13.280982,7.582137,5.582137,2016nf7 (2weeks),0,0,0,0,0,0,22,15,18,15,0,0,0,0,0,0,15,10,10,7,0,0,0,0,0,0,1.466667,1.5,1.8,2.142857
465112,465112,EQUIPMENT & SUPPLIES,"SMALLWARES, KITCHEN & BAR","DISPENSERS & HOLDERS, OTHER","DISPENSER, SQUEEZE BOTTLE 16 OZ PLASTIC NATURAL WIDE MOUTH",2,N,44,255,222.72,384,0.58,384,0.58,993.26,2.586615,2.586615,2.586615,0.58,386,-768,-2,10.578125,7.99151,3.166615,1.166615,2016nf7 (2weeks),0,1,0,0,0,0,30,19,14,5,0,1,0,0,0,0,20,8,8,6,0,1,0,0,0,0,1.5,2.375,1.75,0.833333
1006485,1006485,"PRODUCE, FRESH","MELONS, FRESH","HONEYDEW, FRESH","HONEYDEW, FRESH REF MELON",2,N,6,184,1058.667598,363,2.91644,10091.4,0.104908,1235.89,3.404656,0.12247,3.404656,2.91644,363,-726,-2,18.553802,15.149146,6.321096,4.321096,2016nf7 (2weeks),1,1,0,0,0,0,19,15,14,12,1,1,0,0,0,0,14,7,10,6,1,1,0,0,0,0,1.357143,2.142857,1.4,2
2810246,2810246,PORK,"PORK, FURTHER PROCESSED","PORK, PRECOOKED, OTHER, REFRIGERATED","PORK, ROAST BONELESS CUBAN SEASONED COOKED NATURAL REF VACUUM-PACK",0.4,Y,36,210,1181.434395,328,3.601934,3096.11,0.381587,1584.46,4.830671,0.511758,0.511758,0.381587,328,-1238.46,-0.400005,3.823624,3.311866,0.893345,0.49334,2016nf7 (2weeks),4,9,0,0,0,0,29,15,22,12,3,5,0,0,0,0,23,9,16,7,1.333333,1.8,0,0,0,0,1.26087,1.666667,1.375,1.714286
4535241,4535241,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 ROUND WAFFLED RAW IQF FROZEN",1.5,N,4,63,1087.622618,317,3.430986,3170,0.343099,1802.9,5.687382,0.568738,5.687382,3.430986,317,-475.5,-1.5,32.436498,26.749117,9.118368,7.618368,2016nf7 (2weeks),1,1,0,0,0,0,70,13,45,16,1,1,0,0,0,0,9,6,4,3,1,1,0,0,0,0,7.777778,2.166667,11.25,5.333333
